price,engine_volume,engine_power,engine_type,Коробка,Кузов,Привод,Пробег,Руль,Состояние,Таможня,Цвет,год выпуска
1 730 000,2.4,188,Бензин,вариатор,внедорожник 5 дв.,полный,98 000,Левый,Не требует ремонта,Растаможен,коричневый,2015
346 000,1.3,83,Бензин,механическая,хэтчбек 5 дв.,передний,216,Левый,Не требует ремонта,Растаможен,серый,2006
150 000,1.4,90,Бензин,механическая,седан,передний,240 000,Левый,Не требует ремонта,Растаможен,зелёный,1996
650 000,1.8,140,Бензин,автоматическая,седан,передний,121 736,Левый,Не требует ремонта,Растаможен,белый,2010
1 429 000,2.4,194,Бензин,автоматическая,внедорожник 5 дв.,передний,159 101,Левый,Не требует ремонта,Растаможен,белый,2014
2 080 000,1.5,190,Бензин,вариатор,внедорожник 5 дв.,полный,49 685,Левый,Не требует ремонта,Растаможен,серый,2017
849 000,1.8,142,Бензин,автоматическая,седан,передний,90 551,Левый,Не требует ремонта,Растаможен,коричневый,2012
1 539 000,2.4,190,Бензин,автоматическая,внедорожник 5 дв.,полный,102 022,Левый,Не требует ремонта,Растаможен,красный,2014
1 429 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,78 754,Левый,Не требует ремонта,Растаможен,коричневый,2015
2 400 000,1.5,190,Бензин,вариатор,внедорожник 5 дв.,полный,1 008,Левый,Не требует ремонта,Растаможен,серый,2020
289 000,2.0,147,Бензин,механическая,внедорожник 5 дв.,полный,239 552,Левый,Не требует ремонта,Растаможен,золотистый,1999
329 000,1.3,83,Бензин,механическая,хэтчбек 5 дв.,передний,248 526,Левый,Не требует ремонта,Растаможен,коричневый,2008
2 250 000,2.4,186,Бензин,вариатор,внедорожник 5 дв.,полный,71 050,Левый,Не требует ремонта,Растаможен,белый,2017
1 809 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,86 549,Левый,Не требует ремонта,Растаможен,коричневый,2016
872 000,1.8,142,Бензин,автоматическая,хэтчбек 5 дв.,передний,105 404,Левый,Не требует ремонта,Растаможен,чёрный,2012
950 000,2.4,182,Бензин,автоматическая,внедорожник 5 дв.,полный,118 990,Левый,Не требует ремонта,Растаможен,голубой,2011
695 000,2.4,201,Бензин,автоматическая,седан,передний,165 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
389 000,1.8,140,Бензин,автоматическая,седан,передний,251 722,Левый,Не требует ремонта,Растаможен,серый,2008
673 000,1.5,120,Бензин,автоматическая,универсал 5 дв.,полный,196 000,Правый,Не требует ремонта,Растаможен,серебристый,2013
1 030 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,116 000,Левый,Не требует ремонта,Растаможен,коричневый,2011
625 000,2.4,201,Бензин,автоматическая,седан,передний,215 052,Левый,Не требует ремонта,Растаможен,чёрный,2008
805 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,227 908,Левый,Не требует ремонта,Растаможен,серый,2008
1 870 000,1.5,150,Бензин,вариатор,минивэн,полный,112 000,Правый,Не требует ремонта,Растаможен,фиолетовый,2016
465 000,1.8,140,Бензин,автоматическая,седан,передний,129 744,Левый,Не требует ремонта,Растаможен,синий,2007
815 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,187 227,Левый,Не требует ремонта,Растаможен,чёрный,2007
430 000,1.8,140,Бензин,механическая,седан,передний,215 071,Левый,Не требует ремонта,Растаможен,серебристый,2008
888 888,2.4,200,Бензин,автоматическая,седан,передний,176 000,Левый,Не требует ремонта,Растаможен,серый,2011
535 000,1.8,140,Бензин,автоматическая,седан,передний,166 150,Левый,Не требует ремонта,Растаможен,синий,2009
507 000,2.4,162,Бензин,автоматическая,внедорожник 5 дв.,полный,226 742,Левый,Не требует ремонта,Растаможен,чёрный,2002
1 659 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,67 218,Левый,Не требует ремонта,Растаможен,белый,2015
344 375,2.0,147,Бензин,автоматическая,внедорожник 5 дв.,полный,222 000,Левый,Не требует ремонта,Растаможен,синий,2001
957 000,3.5,275,Бензин,автоматическая,внедорожник 5 дв.,полный,161 560,Левый,Не требует ремонта,Растаможен,красный,2012
765 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,144 000,Левый,Не требует ремонта,Растаможен,серый,2008
665 000,2.4,162,Бензин,автоматическая,внедорожник 5 дв.,полный,152 000,Левый,Не требует ремонта,Растаможен,чёрный,2005
457 000,1.8,140,Бензин,механическая,седан,передний,172 756,Левый,Не требует ремонта,Растаможен,чёрный,2008
410 000,1.8,140,Бензин,автоматическая,седан,передний,194 558,Левый,Не требует ремонта,Растаможен,чёрный,2008
999 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,146 800,Левый,Не требует ремонта,Растаможен,чёрный,2010
1 145 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,170 000,Левый,Не требует ремонта,Растаможен,коричневый,2013
900 000,2.4,190,Бензин,автоматическая,седан,передний,257 000,Левый,Не требует ремонта,Растаможен,серебристый,2006
