engine_value,engine_power,mileage,transmission,body,steering_wheel,color,year_of_issue
3.5,281,136000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2013
2.4,185,61000,механическая,купе,Левый,чёрный,2015
2.4,194,220000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2014
2.4,166,144000,автоматическая,внедорожник 5 дв.,Левый,серый,2008
1.5,190,47000,вариатор,внедорожник 5 дв.,Левый,красный,2017
2.4,186,116250,вариатор,внедорожник 5 дв.,Левый,чёрный,2017
1.5,192,38052,вариатор,седан,Левый,серый,2018
2.4,194,159101,автоматическая,внедорожник 5 дв.,Левый,белый,2014
2.4,201,165000,автоматическая,седан,Левый,чёрный,2008
1.8,140,129744,автоматическая,седан,Левый,синий,2007
2.0,150,110000,автоматическая,внедорожник 5 дв.,Левый,серый,2008
2.0,150,152552,автоматическая,внедорожник 5 дв.,Левый,синий,2012
2.4,162,226742,автоматическая,внедорожник 5 дв.,Левый,чёрный,2002
2.4,190,102022,автоматическая,внедорожник 5 дв.,Левый,красный,2014
1.3,83 ,145000,вариатор,хэтчбек 5 дв.,Левый,чёрный,2008
3.5,249,150000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2012
2.4,200,216597,автоматическая,седан,Левый,чёрный,2011
0.7,58 ,11418,вариатор,хэтчбек 5 дв.,Правый,коричневый,2018
2.0,150,198000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2012
2.4,186,1000,вариатор,внедорожник 5 дв.,Левый,синий,2019
2.4,182,118990,автоматическая,внедорожник 5 дв.,Левый,голубой,2011
2.4,166,180000,автоматическая,внедорожник 5 дв.,Левый,зелёный,2010
2.0,150,170000,механическая,внедорожник 5 дв.,Левый,коричневый,2013
2.0,150,165000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2012
2.0,150,76605,автоматическая,внедорожник 5 дв.,Левый,белый,2017
2.4,190,135300,автоматическая,внедорожник 5 дв.,Левый,синий,2013
2.0,150,132576,автоматическая,внедорожник 5 дв.,Левый,чёрный,2013
2.4,201,213000,механическая,седан,Левый,белый,2008
2.4,201,210162,автоматическая,седан,Левый,чёрный,2008
2.4,166,113684,автоматическая,внедорожник 5 дв.,Левый,белый,2009
2.4,190,45799,автоматическая,внедорожник 5 дв.,Левый,чёрный,2014
2.0,150,135677,автоматическая,внедорожник 5 дв.,Левый,белый,2013
3.5,275,169000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2011
2.0,155,187000,автоматическая,седан,Левый,серый,2007
1.3,99 ,133175,вариатор,хэтчбек 5 дв.,Правый,серебристый,2013
2.4,166,164000,автоматическая,внедорожник 5 дв.,Левый,синий,2008
1.5,110,280000,вариатор,универсал 5 дв.,Правый,оранжевый,2005
2.0,150,189000,автоматическая,внедорожник 5 дв.,Левый,серый,2006
1.8,140,270000,автоматическая,седан,Левый,синий,2007
1.8,140,140000,механическая,седан,Левый,чёрный,2007
1.8,140,148057,автоматическая,седан,Левый,белый,2007
1.3,86 ,178000,вариатор,хэтчбек 5 дв.,Правый,жёлтый,2004
2.0,150,260000,автоматическая,седан,Правый,серый,1998
1.8,142,108222,автоматическая,хэтчбек 5 дв.,Левый,белый,2012
1.3,83 ,204000,механическая,хэтчбек 5 дв.,Левый,синий,2007
2.0,150,161751,автоматическая,внедорожник 5 дв.,Левый,серый,2011
2.4,188,56000,вариатор,внедорожник 5 дв.,Левый,чёрный,2015
2.0,150,232625,автоматическая,внедорожник 5 дв.,Левый,серый,2008
2.4,190,143000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2013
2.0,150,173018,автоматическая,внедорожник 5 дв.,Левый,коричневый,2012
1.8,140,168958,автоматическая,седан,Левый,серебристый,2008
1.3,83 ,175000,механическая,хэтчбек 5 дв.,Левый,серый,2007
1.3,100,117969,роботизированная,хэтчбек 5 дв.,Левый,розовый,2009
2.4,190,89288,автоматическая,внедорожник 5 дв.,Левый,коричневый,2013
2.4,166,138080,автоматическая,внедорожник 5 дв.,Левый,серебристый,2009
1.5,110,218181,вариатор,хэтчбек 5 дв.,Правый,серый,2002
1.8,140,297184,автоматическая,седан,Левый,серебристый,2006
1.6,160,308771,механическая,седан,Левый,синий,1998
2.0,128,300000,автоматическая,внедорожник 5 дв.,Левый,зелёный,1996
2.0,150,114000,автоматическая,внедорожник 5 дв.,Левый,серый,2013
2.0,150,190000,автоматическая,внедорожник 5 дв.,Левый,серый,2011
1.5,131,84000,роботизированная,хэтчбек 5 дв.,Правый,чёрный,2015
1.5,193,11000,вариатор,внедорожник 5 дв.,Левый,белый,2019
2.4,166,331526,автоматическая,внедорожник 5 дв.,Левый,серый,2008
1.3,83 ,192000,вариатор,хэтчбек 5 дв.,Левый,жёлтый,2006
2.0,150,271000,автоматическая,внедорожник 5 дв.,Левый,белый,2014
2.0,150,65364,автоматическая,внедорожник 5 дв.,Левый,коричневый,2014
2.0,150,227000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2014
2.0,160,184000,автоматическая,минивэн,Правый,серый,2002
1.8,140,166150,автоматическая,седан,Левый,синий,2009
2.4,190,119000,автоматическая,внедорожник 5 дв.,Левый,серебристый,2013
1.5,90 ,259999,механическая,седан,Левый,фиолетовый,1997
1.8,140,180000,механическая,седан,Левый,синий,2009
2.4,180,161000,автоматическая,седан,Левый,белый,2013
2.0,150,135066,автоматическая,внедорожник 5 дв.,Левый,чёрный,2011
2.0,150,67218,автоматическая,внедорожник 5 дв.,Левый,белый,2015
2.4,166,203517,автоматическая,внедорожник 5 дв.,Левый,красный,2009
2.4,201,177000,автоматическая,седан,Левый,чёрный,2008
2.0,147,222000,автоматическая,внедорожник 5 дв.,Левый,синий,2001
2.4,201,160000,механическая,седан,Левый,серый,2008
1.8,140,150000,автоматическая,седан,Левый,чёрный,2008
2.0,150,33234,автоматическая,внедорожник 5 дв.,Левый,чёрный,2018
2.0,155,303000,автоматическая,универсал 5 дв.,Левый,синий,2006
2.0,150,323897,автоматическая,внедорожник 5 дв.,Левый,серый,2006
1.8,140,225000,роботизированная,хэтчбек 5 дв.,Левый,синий,2008
1.6,155,309,автоматическая,седан,Правый,серебристый,1996
2.4,190,159000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2013
2.4,166,202584,автоматическая,внедорожник 5 дв.,Левый,белый,2012
1.3,100,209000,вариатор,хэтчбек 5 дв.,Правый,голубой,2008
1.8,140,158000,механическая,седан,Левый,серый,2008
1.8,140,194558,автоматическая,седан,Левый,чёрный,2008
2.4,166,146800,автоматическая,внедорожник 5 дв.,Левый,чёрный,2010
2.0,150,82969,автоматическая,внедорожник 5 дв.,Левый,синий,2018
2.4,162,98880,автоматическая,внедорожник 5 дв.,Левый,жёлтый,2001
2.0,128,308000,автоматическая,внедорожник 5 дв.,Левый,чёрный,1998
2.0,145,152000,механическая,внедорожник 5 дв.,Левый,бежевый,1999
2.0,131,154000,автоматическая,компактвэн,Правый,зелёный,1997
2.0,156,215000,автоматическая,седан,Левый,синий,2008
1.3,95 ,151445,вариатор,седан,Левый,серебристый,2006
3.0,249,136000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2018
2.0,150,148000,автоматическая,внедорожник 5 дв.,Левый,красный,2007
2.0,150,149828,вариатор,внедорожник 5 дв.,Левый,белый,2017
2.0,150,135400,автоматическая,внедорожник 5 дв.,Левый,серый,2011
1.3,86 ,229000,вариатор,хэтчбек 5 дв.,Правый,серый,2002
2.4,166,230000,автоматическая,внедорожник 5 дв.,Левый,серебристый,2008
2.0,150,58000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2015
2.4,166,335000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2012
2.0,147,195000,автоматическая,внедорожник 5 дв.,Левый,золотистый,2001
2.0,150,100000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2011
1.3,83 ,96482,вариатор,хэтчбек 5 дв.,Левый,серый,2008
2.4,166,189006,автоматическая,внедорожник 5 дв.,Левый,серебристый,2012
1.8,140,160000,автоматическая,седан,Левый,синий,2010
2.0,156,290000,механическая,седан,Левый,чёрный,2010
3.5,275,152825,автоматическая,внедорожник 5 дв.,Левый,чёрный,2011
1.5,131,87000,вариатор,компактвэн,Правый,чёрный,2017
1.8,140,142392,автоматическая,седан,Левый,золотистый,2008
2.4,190,172018,автоматическая,внедорожник 5 дв.,Левый,серый,2013
2.3,150,326000,автоматическая,компактвэн,Правый,серый,2000
2.4,201,156000,автоматическая,седан,Левый,серый,2010
2.0,150,116454,автоматическая,внедорожник 5 дв.,Левый,коричневый,2013
2.0,150,197522,автоматическая,внедорожник 5 дв.,Левый,чёрный,2010
2.0,150,292000,автоматическая,внедорожник 5 дв.,Левый,серый,2004
2.0,150,200265,автоматическая,внедорожник 5 дв.,Левый,серый,2012
2.0,156,207000,автоматическая,седан,Левый,серый,2012
2.4,190,175500,автоматическая,внедорожник 5 дв.,Левый,коричневый,2013
2.0,150,177000,автоматическая,внедорожник 5 дв.,Левый,серый,2008
2.0,150,120520,автоматическая,внедорожник 5 дв.,Левый,коричневый,2018
2.4,200,132524,автоматическая,седан,Левый,чёрный,2011
2.4,194,96034,автоматическая,внедорожник 5 дв.,Левый,чёрный,2014
2.4,166,290000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2012
2.4,188,90374,вариатор,внедорожник 5 дв.,Левый,чёрный,2015
2.4,201,170234,автоматическая,седан,Левый,красный,2008
2.0,128,185000,автоматическая,внедорожник 5 дв.,Левый,синий,1998
2.4,190,208038,автоматическая,внедорожник 5 дв.,Левый,белый,2014
0.7,58 ,64000,вариатор,хэтчбек 5 дв.,Правый,бежевый,2014
1.8,140,149991,автоматическая,седан,Левый,чёрный,2007
1.8,140,170830,роботизированная,хэтчбек 5 дв.,Левый,красный,2008
1.6,115,386374,механическая,седан,Левый,синий,1999
2.4,180,71571,автоматическая,седан,Левый,чёрный,2013
2.4,166,30205,автоматическая,внедорожник 5 дв.,Левый,белый,2012
1.8,140,218375,автоматическая,седан,Левый,чёрный,2007
2.4,166,164590,автоматическая,внедорожник 5 дв.,Левый,чёрный,2011
2.4,201,202000,автоматическая,седан,Левый,чёрный,2008
1.3,95 ,180000,вариатор,седан,Левый,коричневый,2009
1.7,130,270000,вариатор,хэтчбек 5 дв.,Правый,серебристый,2001
2.0,155,183590,автоматическая,седан,Левый,красный,2006
2.4,166,131997,автоматическая,внедорожник 5 дв.,Левый,серебристый,2008
1.3,86 ,200000,вариатор,хэтчбек 5 дв.,Правый,белый,2002
1.5,174,78000,вариатор,седан,Левый,белый,2016
2.0,150,107000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2013
1.5,130,31000,вариатор,внедорожник 5 дв.,Правый,чёрный,2017
1.5,110,82000,роботизированная,универсал 5 дв.,Правый,красный,2015
2.0,147,237729,автоматическая,внедорожник 5 дв.,Левый,бежевый,2000
1.3,100,38000,автоматическая,хэтчбек 5 дв.,Правый,белый,2013
2.0,150,106385,автоматическая,внедорожник 5 дв.,Левый,серый,2007
1.8,140,196932,автоматическая,седан,Левый,чёрный,2009
3.5,250,215396,автоматическая,пикап двойная кабина,Левый,белый,2010
1.5,115,150000,механическая,седан,Правый,серебристый,1997
1.3,83 ,137191,вариатор,хэтчбек 5 дв.,Левый,красный,2008
2.0,150,220000,механическая,седан,Правый,серебристый,2000
1.5,88 ,67000,вариатор,компактвэн,Правый,белый,2013
2.4,180,154442,автоматическая,седан,Левый,чёрный,2013
1.8,140,199905,автоматическая,седан,Левый,серый,2007
2.0,156,157000,автоматическая,седан,Левый,белый,2010
2.4,190,143657,автоматическая,седан,Левый,чёрный,2007
3.5,249,111000,автоматическая,внедорожник 5 дв.,Левый,серый,2014
2.0,150,248650,автоматическая,внедорожник 5 дв.,Левый,чёрный,2005
1.3,86 ,278377,вариатор,хэтчбек 5 дв.,Правый,синий,2003
2.4,166,121147,автоматическая,внедорожник 5 дв.,Левый,серый,2012
2.0,147,280000,механическая,внедорожник 5 дв.,Левый,синий,2001
2.4,166,230701,автоматическая,внедорожник 5 дв.,Левый,коричневый,2010
2.0,150,162000,механическая,внедорожник 5 дв.,Левый,чёрный,2012
2.4,194,104652,автоматическая,внедорожник 5 дв.,Левый,чёрный,2014
1.5,132,95000,роботизированная,внедорожник 5 дв.,Правый,белый,2014
2.0,156,292558,автоматическая,седан,Левый,белый,2008
1.8,140,132687,автоматическая,седан,Левый,красный,2010
3.5,281,91355,автоматическая,внедорожник 5 дв.,Левый,коричневый,2014
1.8,140,162002,механическая,седан,Левый,белый,2009
2.0,150,107000,вариатор,минивэн,Правый,белый,2014
2.4,200,131000,автоматическая,седан,Левый,красный,2012
2.4,200,238875,автоматическая,седан,Левый,чёрный,2011
1.3,86 ,200000,вариатор,хэтчбек 5 дв.,Правый,чёрный,2005
1.3,95 ,272000,вариатор,седан,Левый,голубой,2006
2.0,155,261380,механическая,седан,Левый,синий,2006
1.8,140,216651,автоматическая,седан,Левый,серый,2008
2.0,150,100000,автоматическая,внедорожник 5 дв.,Левый,серый,2008
2.0,128,200000,автоматическая,внедорожник 5 дв.,Правый,серый,1997
2.0,150,92000,автоматическая,внедорожник 5 дв.,Левый,белый,2014
1.5,118,97000,вариатор,компактвэн,Правый,чёрный,2010
1.3,86 ,185000,вариатор,хэтчбек 5 дв.,Правый,серый,2006
2.0,128,177000,механическая,внедорожник 5 дв.,Левый,зелёный,1998
1.5,190,67000,вариатор,внедорожник 5 дв.,Левый,чёрный,2017
2.4,194,103311,автоматическая,внедорожник 5 дв.,Левый,чёрный,2014
1.5,120,187687,вариатор,хэтчбек 5 дв.,Правый,синий,2010
2.4,166,190000,автоматическая,внедорожник 5 дв.,Левый,голубой,2008
2.0,156,221600,автоматическая,седан,Левый,чёрный,2008
1.3,100,127000,вариатор,хэтчбек 5 дв.,Правый,фиолетовый,2009
1.5,105,170000,вариатор,хэтчбек 5 дв.,Правый,белый,2000
1.8,140,218000,механическая,седан,Левый,чёрный,2010
1.6,120,290000,автоматическая,седан,Правый,белый,2000
1.8,140,207000,роботизированная,хэтчбек 5 дв.,Левый,серый,2008
2.0,150,134156,механическая,внедорожник 5 дв.,Левый,белый,2012
1.8,140,162300,механическая,седан,Левый,бежевый,2008
2.4,190,235000,автоматическая,седан,Левый,синий,2008
2.0,150,240000,автоматическая,седан,Правый,серый,2001
